DB code,LATDEC,LONDEC
GM4R18M2355,49.303,-58.819
GM4R18M2356,49.303,-58.819
GM4R18S2303,48.733,-59.341
GM4R18S2307,47.952,-59.500
GM4R18S2308,47.952,-59.500
GM4R18S2309,48.144,-59.492
GM4R18S2310,48.133,-59.342
GM4R18S2311,48.133,-59.342
GM4R18S2315,48.069,-59.340
GM4R18S2317,48.137,-59.169
GM4R18S2321,48.339,-59.177
GM4R18S2325,48.333,-59.319
GM4R18S2329,48.333,-59.319
GM4R18S2331,48.333,-59.319
GM4R18S2333,48.333,-59.319
GM4R18S2336,48.333,-59.319
GM4R18S2339,48.723,-59.181
GM4R18S2340,48.723,-59.181
GM4R18S2341,48.919,-59.190
GM4R18S2342,48.919,-59.190
GM4R18S2348,48.919,-59.190
GM4R18S2349,48.919,-59.190
GM4R18S2351,48.939,-59.035
GM4R18S2353,49.303,-58.819
GM4R18S2357,49.303,-58.819
GM4S17L1225,49.91,-63.05
GM4S17L1228,49.91,-63.05
GM4S17L1234,49.91,-63.05
GM4S17M1227,49.91,-63.05
GM4S17M1229,49.91,-63.05
GM4S05M2453,49.084,-62.2680
GM4S05M2451,49.001,-62.544
GM4S05S2365,49.053,-62.1564
GM4S05S2391,49.053,-62.1564
GM4S17L1224,49.91,-63.05
GM4S17M1239,49.91,-63.05
GM4S17M1240,49.91,-63.05
GM4S17M1243,49.91,-63.05
GM4S17M1244,49.91,-63.05
GM4S17M1245,49.91,-63.05
GM4S17M1246,49.91,-63.05
GM4S17M1247,49.91,-63.05
GM4S17M1249,49.91,-63.05
GM4S17M1254,49.91,-63.05
GM4S17M1266,49.91,-63.05
GM4S17M1271,49.91,-63.05
GM4S17S1504,49.85,-61.77
GM4S17M1534,49.77,-66.94
GM4S17S1533,49.77,-66.94
GM4S17S1560,49.77,-66.94
GM4S17M1544,49.77,-66.94
GM4S17S1541,49.77,-66.94
GM4S17S1542,49.77,-66.94
GM4S17S1548,49.77,-66.94
GM4S17S1550,49.77,-66.94
GM4S17S1553,49.77,-66.94
GM4S17S1554,49.77,-66.94
GM4S17S1555,49.77,-66.94
GM4S17S1557,49.77,-66.94
GM4T17L867,47.95,-63.97
GM4T17L914,48.01,-64.00
GM4T17L918,48.01,-64.00
GM4T17L927,48.01,-64.00
GM4T17M875,47.95,-63.97
GM4T17M877,47.95,-63.97
GM4T17M888,47.95,-63.97
GM4T17M889,47.95,-63.97
GM4T17M906,48.01,-64.00
GM4T17M921,48.01,-64.00
GM4T17M924,48.01,-64.00
GM4T17M933,48.01,-64.00
GM4T17M944,48.01,-64.00
GM4T17M947,47.98,-64.00
GM4T17S880,47.95,-63.97
GM4T17S885,47.95,-63.97
GM4T17S886,47.95,-63.97
GM4T17S890,47.95,-63.97
GM4T17S899,47.95,-63.97
GM4T17S915,48.01,-64.00
GM4T17S916,48.01,-64.00
GM4T17S919,48.01,-64.00
GM4T17S920,48.01,-64.00
GM4T17S922,48.01,-64.00
GM4T17S925,48.01,-64.00
GM4T17S926,48.01,-64.00
GM4T17S928,48.01,-64.00
GM4T17S929,48.01,-64.00
GM4T17S930,48.01,-64.00
GM4T17S934,48.01,-64.00
GM4T17S935,48.01,-64.00
GM4T17S936,48.01,-64.00
GM4T17S937,48.01,-64.00
GM4T17S938,48.01,-64.00
GM4T17S939,48.01,-64.00
GM4T17S940,48.01,-64.00
GM4T17S941,48.01,-64.00
GM4T17S942,48.01,-64.00
GM4T17S943,48.01,-64.00
GM4T17S946,47.98,-64.00
GM4T17S948,47.98,-64.00
GM4T17S949,47.98,-64.00
3PS,46.48333,-54.68167
3PS,46.35667,-54.50667
3PS,46.42,-55.075
3PS,46.62333,-55.57667
3PS,46.77,-55.815
3PS,46.64833,-56.08333
3PS,46.72333,-56.07333
3PS,47.11667,-55.82833
3PS,47.37667,-55.45167
3PS,47.14833,-56.17833
3PS,47.16167,-56.235
3PS,47.03333,-57.935
3PS,46.18667,-57.05167
3PS,46.17667,-55.84833
3PS,46.57833,-56.42167
3PS,45.14,-56.11333
3PS,45.235,-56.18167
3PS,45.15667,-55.34667
3PS,46.47167,-56.39667
3PS,46.23333,-57.18167
3PS,45.66833,-57.21333
3PS,45.76833,-56.58
3PS,45.395,-56.23667
3PS,47.12333,-55.96667
3PS,47.19833,-55.8
3PS,47.19,-55.92833
3PS,47.4,-56.20833
3PS,47.42833,-56.81167
3PS,47.04167,-57.54
3PS,47.07167,-57.93
3PS,47.03167,-57.93167
3PS,45.215,-56.095
3PS,45.37333,-54.76
3PS,45.18333,-55.59667
3PS,46.5,-55.36667
3PS,46.13833,-54.72667
3PS,45.96667,-55.25167
3PS,45.69333,-55.115
