""	"c..1_21_19....1_218_11....1_218_12....1_218_14....1_218_20..."
"222"	"GM4S17S1504"
"223"	"GM4S17S1533"
"224"	"GM4S17S1541"
"225"	"GM4S17S1542"
"226"	"GM4S17S1548"
"227"	"GM4S17S1550"
"228"	"GM4S17S1553"
"229"	"GM4S17S1554"
"230"	"GM4S17S1555"
"231"	"GM4S17S1557"
"232"	"GM4S17S1560"
"233"	"GM4T17L867"
"234"	"GM4T17L914"
"235"	"GM4T17L918"
"236"	"GM4T17L927"
"237"	"GM4T17M875"
"238"	"GM4T17M877"
"239"	"GM4T17M888"
"240"	"GM4T17M889"
"241"	"GM4T17M906"
"242"	"GM4T17M921"
"243"	"GM4T17M924"
"244"	"GM4T17M933"
"245"	"GM4T17M944"
"246"	"GM4T17M947"
"247"	"GM4T17S880"
"248"	"GM4T17S885"
"249"	"GM4T17S886"
"250"	"GM4T17S890"
"251"	"GM4T17S899"
"252"	"GM4T17S915"
"253"	"GM4T17S916"
"254"	"GM4T17S919"
"255"	"GM4T17S920"
"256"	"GM4T17S922"
"257"	"GM4T17S925"
"258"	"GM4T17S926"
"259"	"GM4T17S928"
"260"	"GM4T17S929"
"261"	"GM4T17S930"
"262"	"GM4T17S934"
"263"	"GM4T17S935"
"264"	"GM4T17S936"
"265"	"GM4T17S937"
"266"	"GM4T17S938"
"267"	"GM4T17S939"
"268"	"GM4T17S940"
"269"	"GM4T17S941"
"270"	"GM4T17S942"
"271"	"GM4T17S943"
"272"	"GM4T17S946"
"273"	"GM4T17S948"
"274"	"GM4T17S949"
"275"	"GM4X18L2120"
"276"	"GM4X18L2122"
"277"	"GM4X18M2118"
"278"	"GM4X18M2121"
"279"	"GM4X18M2123"
"280"	"GM4X18M2124"
"281"	"GM4X18M2125"
"282"	"GM4X18M2126"
"283"	"GM4X18M2127"
"284"	"GM4X18M2129"
"285"	"GM4X18M2130"
"286"	"GM4X18M2131"
"287"	"GM5Y17L1749"
"288"	"GM5Y17L1752"
"289"	"GM5Y17L1759"
"290"	"GM5Y17L1760"
"291"	"GM5Y17L814"
"292"	"GM5Y17L816"
"293"	"GM5Y17L822"
"294"	"GM5Y17L830"
"295"	"GM5Y17L835"
"296"	"GM5Y17L838"
"297"	"GM5Y17M1736"
"298"	"GM5Y17M1738"
"299"	"GM5Y17M1751"
"300"	"GM5Y17M1753"
"301"	"GM5Y17M1754"
"302"	"GM5Y17M1756"
"303"	"GM5Y17M1757"
"304"	"GM5Y17M1758"
"305"	"GM5Y17M806"
"306"	"GM5Y17M809"
